AgMMN024	 pop_1 	AgermCT004 	345 	345
AgMMN025	 pop_1 	AgermCT004 	345 	345
AgMMN026	 pop_1 	AgermCT004 	345 	349
AgMMN027	 pop_1 	AgermCT004 	345 	349
AgMMN028	 pop_1 	AgermCT004 	345 	345
AgMMN029	 pop_1 	AgermCT004 	345 	345
AgMMN030	 pop_1 	AgermCT004 	345 	345
AgMMN031	 pop_1 	AgermCT004 	345 	345
AgMMN032	 pop_1 	AgermCT004 	345 	345
AgMMN033	 pop_1 	AgermCT004 	345 	345
AgMMN034	 pop_1 	AgermCT004 	345 	345
AgMMN035	 pop_1 	AgermCT004 	345 	345
AgMMN036	 pop_1 	AgermCT004 	345 	345
AgMMN037	 pop_1 	AgermCT004 	345 	345
AgMMN038	 pop_1 	AgermCT004 	345 	345
AgMMN039	 pop_1 	AgermCT004 	345 	345
AgMMN040	 pop_1 	AgermCT004 	345 	345
AgMPP001	 pop_1 	AgermCT004 	345 	345
AgMPP002	 pop_1 	AgermCT004 	345 	345
AgMPP003	 pop_1 	AgermCT004 	0 	0
AgMPP004	 pop_1 	AgermCT004 	345 	345
AgMPP005	 pop_1 	AgermCT004 	345 	345
AgMPP006	 pop_1 	AgermCT004 	345 	345
AgMPP007	 pop_1 	AgermCT004 	345 	345
AgMPP008	 pop_1 	AgermCT004 	345 	345
AgMPP009	 pop_1 	AgermCT004 	345 	345
AgMPP010	 pop_1 	AgermCT004 	345 	345
AgMPP011	 pop_1 	AgermCT004 	345 	345
AgMPP012	 pop_1 	AgermCT004 	0 	0
AgMPP013	 pop_1 	AgermCT004 	345 	345
AgMPP014	 pop_1 	AgermCT004 	345 	345
AgMPP015	 pop_1 	AgermCT004 	345 	345
AgMPP016	 pop_1 	AgermCT004 	345 	345
AgMPP017	 pop_1 	AgermCT004 	0 	0
AgMPP018	 pop_1 	AgermCT004 	0 	0
AgMPP019	 pop_1 	AgermCT004 	345 	345
AgMPP020	 pop_1 	AgermCT004 	0 	0
AgMPP021	 pop_1 	AgermCT004 	0 	0
AgMPP022	 pop_1 	AgermCT004 	345 	345
AgMPP023	 pop_1 	AgermCT004 	345 	345
AgMPP024	 pop_1 	AgermCT004 	345 	345
AgMPP025	 pop_1 	AgermCT004 	0 	0
AgMPP026	 pop_1 	AgermCT004 	345 	345
AgMPP027	 pop_1 	AgermCT004 	0 	0
AgMPP028	 pop_1 	AgermCT004 	345 	345
AgMPP029	 pop_1 	AgermCT004 	345 	345
AgMPP030	 pop_1 	AgermCT004 	345 	345
AgMPP031	 pop_1 	AgermCT004 	0 	0
AgMPP032	 pop_1 	AgermCT004 	345 	345
AgMPP033	 pop_1 	AgermCT004 	345 	345
AgMPP034	 pop_1 	AgermCT004 	0 	0
AgMPP035	 pop_1 	AgermCT004 	0 	0
AgMPP036	 pop_1 	AgermCT004 	345 	345
AgMPP037	 pop_1 	AgermCT004 	345 	345
AgMPP038	 pop_1 	AgermCT004 	0 	0
AgMPP039	 pop_1 	AgermCT004 	345 	345
AgMPP040	 pop_1 	AgermCT004 	345 	345
AgMBN001	 pop_1 	AgermCT004 	345 	345
AgMBN002	 pop_1 	AgermCT004 	345 	345
AgMBN003	 pop_1 	AgermCT004 	345 	345
AgMBN004	 pop_1 	AgermCT004 	345 	345
AgMBN005	 pop_1 	AgermCT004 	345 	345
AgMBN006	 pop_1 	AgermCT004 	0 	0
AgMBN007	 pop_1 	AgermCT004 	0 	0
AgMBN008	 pop_1 	AgermCT004 	345 	345
AgMBN009	 pop_1 	AgermCT004 	345 	345
AgMBN010	 pop_1 	AgermCT004 	345 	345
AgMBN011	 pop_1 	AgermCT004 	345 	345
AgMBN012	 pop_1 	AgermCT004 	345 	345
AgMBN013	 pop_1 	AgermCT004 	345 	345
AgMBN014	 pop_1 	AgermCT004 	345 	345
AgMBN015	 pop_1 	AgermCT004 	345 	345
AgMBN016	 pop_1 	AgermCT004 	345 	345
AgMBN017	 pop_1 	AgermCT004 	345 	345
AgMBN018	 pop_1 	AgermCT004 	0 	0
AgMBN019	 pop_1 	AgermCT004 	345 	345
AgMBN020	 pop_1 	AgermCT004 	0 	0
AgMBN021	 pop_1 	AgermCT004 	345 	345
AgMBN022	 pop_1 	AgermCT004 	345 	345
AgMBN023	 pop_1 	AgermCT004 	345 	345
AgMBN024	 pop_1 	AgermCT004 	345 	345
AgMBN025	 pop_1 	AgermCT004 	0 	0
AgMBN026	 pop_1 	AgermCT004 	345 	345
AgMBN027	 pop_1 	AgermCT004 	345 	345
AgMBN028	 pop_1 	AgermCT004 	0 	0
AgMBN029	 pop_1 	AgermCT004 	345 	345
AgMBN030	 pop_1 	AgermCT004 	345 	345
AgMBN031	 pop_1 	AgermCT004 	345 	349
AgMBN032	 pop_1 	AgermCT004 	345 	345
AgMBN033	 pop_1 	AgermCT004 	345 	345
AgMBN034	 pop_1 	AgermCT004 	345 	345
AgMBN035	 pop_1 	AgermCT004 	345 	345
AgMBN036	 pop_1 	AgermCT004 	345 	345
AgMBN037	 pop_1 	AgermCT004 	345 	345
AgMBN038	 pop_1 	AgermCT004 	0 	0
AgMBN039	 pop_1 	AgermCT004 	345 	345
AgMBN040	 pop_1 	AgermCT004 	345 	345
AgMTG001	 pop_1 	AgermCT004 	345 	345
AgMTG002	 pop_1 	AgermCT004 	345 	345
AgMTG003	 pop_1 	AgermCT004 	345 	345
AgMTG004	 pop_1 	AgermCT004 	345 	345
AgMTG005	 pop_1 	AgermCT004 	345 	345
AgMTG006	 pop_1 	AgermCT004 	345 	345
AgMTG007	 pop_1 	AgermCT004 	345 	345
AgMTG008	 pop_1 	AgermCT004 	345 	345
AgMTG009	 pop_1 	AgermCT004 	345 	345
AgMTG010	 pop_1 	AgermCT004 	345 	345
AgMTG011	 pop_1 	AgermCT004 	345 	345
AgMTG012	 pop_1 	AgermCT004 	345 	345
AgMTG013	 pop_1 	AgermCT004 	345 	345
AgMTG014	 pop_1 	AgermCT004 	345 	345
AgMTG015	 pop_1 	AgermCT004 	345 	345
AgMTG016	 pop_1 	AgermCT004 	345 	345
AgMTG017	 pop_1 	AgermCT004 	345 	345
AgMTG018	 pop_1 	AgermCT004 	345 	345
AgMTG019	 pop_1 	AgermCT004 	345 	345
AgMTG020	 pop_1 	AgermCT004 	345 	345
AgMTG021	 pop_1 	AgermCT004 	345 	345
AgMTG022	 pop_1 	AgermCT004 	345 	345
AgMTG023	 pop_1 	AgermCT004 	345 	345
AgMTG024	 pop_1 	AgermCT004 	345 	345
AgMTG025	 pop_1 	AgermCT004 	345 	345
AgMTG026	 pop_1 	AgermCT004 	345 	345
AgMTG027	 pop_1 	AgermCT004 	345 	345
AgMTG028	 pop_1 	AgermCT004 	0 	0
AgMTG029	 pop_1 	AgermCT004 	345 	345
AgMTG030	 pop_1 	AgermCT004 	345 	345
AgMTG031	 pop_1 	AgermCT004 	345 	345
AgMTG032	 pop_1 	AgermCT004 	345 	345
AgMTG033	 pop_1 	AgermCT004 	345 	345
AgMTG034	 pop_1 	AgermCT004 	0 	0
AgMTG035	 pop_1 	AgermCT004 	345 	345
AgMTG036	 pop_1 	AgermCT004 	345 	345
AgMTG037	 pop_1 	AgermCT004 	345 	345
AgMTG038	 pop_1 	AgermCT004 	345 	345
AgMTG039	 pop_1 	AgermCT004 	345 	345
AgMTG040	 pop_1 	AgermCT004 	345 	345
AgMBT001	 pop_1 	AgermCT004 	345 	345
AgMBT002	 pop_1 	AgermCT004 	345 	345
AgMBT003	 pop_1 	AgermCT004 	345 	345
AgMBT004	 pop_1 	AgermCT004 	345 	345
AgMBT005	 pop_1 	AgermCT004 	345 	345
AgMBT006	 pop_1 	AgermCT004 	345 	345
AgMBT007	 pop_1 	AgermCT004 	345 	345
AgMBT008	 pop_1 	AgermCT004 	345 	345
AgMBT009	 pop_1 	AgermCT004 	345 	345
AgMBT010	 pop_1 	AgermCT004 	345 	345
AgMBT011	 pop_1 	AgermCT004 	345 	345
AgMBT012	 pop_1 	AgermCT004 	345 	345
AgMBT013	 pop_1 	AgermCT004 	345 	345
AgMBT014	 pop_1 	AgermCT004 	345 	345
AgMBT015	 pop_1 	AgermCT004 	345 	345
AgMBT016	 pop_1 	AgermCT004 	345 	345
AgMBT017	 pop_1 	AgermCT004 	345 	345
AgMBT018	 pop_1 	AgermCT004 	345 	345
AgMBT019	 pop_1 	AgermCT004 	0 	0
AgMBT020	 pop_1 	AgermCT004 	345 	345
AgMBT021	 pop_1 	AgermCT004 	345 	345
AgMBT022	 pop_1 	AgermCT004 	345 	345
AgMBT023	 pop_1 	AgermCT004 	345 	345
AgMBT024	 pop_1 	AgermCT004 	345 	345
AgMBT025	 pop_1 	AgermCT004 	345 	345
AgMBT026	 pop_1 	AgermCT004 	345 	345
AgMBT027	 pop_1 	AgermCT004 	345 	345
AgMBT028	 pop_1 	AgermCT004 	0 	0
AgMBT029	 pop_1 	AgermCT004 	345 	345
AgMBT030	 pop_1 	AgermCT004 	345 	345
AgMBT031	 pop_1 	AgermCT004 	345 	345
AgMBT032	 pop_1 	AgermCT004 	345 	345
AgMBT033	 pop_1 	AgermCT004 	345 	345
AgMBT034	 pop_1 	AgermCT004 	345 	345
AgMBT035	 pop_1 	AgermCT004 	345 	345
AgMBT036	 pop_1 	AgermCT004 	345 	345
AgMBT037	 pop_1 	AgermCT004 	0 	0
AgMBT038	 pop_1 	AgermCT004 	345 	345
AgMBT039	 pop_1 	AgermCT004 	345 	345
AgMBT040	 pop_1 	AgermCT004 	345 	345
AgMLC001	 pop_1 	AgermCT004 	345 	345
AgMLC002	 pop_1 	AgermCT004 	345 	345
AgMLC003	 pop_1 	AgermCT004 	345 	345
AgMLC004	 pop_1 	AgermCT004 	345 	345
AgMLC005	 pop_1 	AgermCT004 	345 	345
AgMLC006	 pop_1 	AgermCT004 	345 	345
AgMLC007	 pop_1 	AgermCT004 	345 	345
AgMLC008	 pop_1 	AgermCT004 	345 	345
AgMLC009	 pop_1 	AgermCT004 	345 	345
AgMLC010	 pop_1 	AgermCT004 	345 	345
AgMLC011	 pop_1 	AgermCT004 	345 	345
AgMLC012	 pop_1 	AgermCT004 	345 	345
AgMLC013	 pop_1 	AgermCT004 	345 	345
AgMLC014	 pop_1 	AgermCT004 	345 	345
AgMLC015	 pop_1 	AgermCT004 	345 	345
AgMLC016	 pop_1 	AgermCT004 	345 	345
AgMLC017	 pop_1 	AgermCT004 	345 	345
AgMLC018	 pop_1 	AgermCT004 	345 	345
AgMLC019	 pop_1 	AgermCT004 	345 	345
AgMLC020	 pop_1 	AgermCT004 	345 	345
AgMLC021	 pop_1 	AgermCT004 	345 	345
AgMLC022	 pop_1 	AgermCT004 	345 	345
AgMLC023	 pop_1 	AgermCT004 	345 	345
AgMLC024	 pop_1 	AgermCT004 	345 	345
AgMLC025	 pop_1 	AgermCT004 	345 	345
AgMLC026	 pop_1 	AgermCT004 	345 	345
AgMLC027	 pop_1 	AgermCT004 	345 	345
AgMLC028	 pop_1 	AgermCT004 	345 	345
AgMLC029	 pop_1 	AgermCT004 	345 	345
AgMLC030	 pop_1 	AgermCT004 	345 	345
AgMLC031	 pop_1 	AgermCT004 	345 	345
AgMLC032	 pop_1 	AgermCT004 	345 	345
AgMLC033	 pop_1 	AgermCT004 	345 	345
AgMLC034	 pop_1 	AgermCT004 	345 	345
AgMLC035	 pop_1 	AgermCT004 	345 	345
AgMLC036	 pop_1 	AgermCT004 	345 	345
AgMLC037	 pop_1 	AgermCT004 	345 	345
AgMLC038	 pop_1 	AgermCT004 	345 	345
